codice|prezzo
AN023                         |                  2.82200
AN028                         |                  3.25360
AN031                         |                  1.92560
AN123                         |                  1.43500
AN128                         |                  1.96800
AN131                         |                  0.97580
AS145                         |                  0.11788
BA062                         |                  2.39040
BA063                         |                  2.85520
BA068                         |                  2.45680
BA301                         |                  1.49400
BR061                         |                  3.78480
BR069                         |                  3.05440
BR810                         |                  0.76260
BRA035B                       |                  0.79680
DI037                         |                  0.53120
DI045                         |                  0.49800
DI070                         |                  0.53120
DIS014                        |                  0.43160
DIS024                        |                  0.36520
DIS030                        |                  0.39840
DIS061                        |                  0.52908
DIS063                        |                  0.52908
DIS068/069                    |                  0.45258
DIS129                        |                  0.19296
DIS145                        |                  0.27983
DIST029                       |                  0.36520
DIST130                       |                  0.20808
DS037                         |                  0.69720
FE330                         |                  0.21074
G1330                         |                  0.87904
G1335                         |                  1.55400
G1336                         |                  1.55400
G1337                         |                  1.55400
G2330                         |                  0.89544
G2335                         |                  1.55400
G2336                         |                  1.55400
G2337                         |                  1.55400
GA021                         |                  1.49400
GA022                         |                  0.69720
GA023                         |                  1.66000
GA024                         |                  1.22840
GA025                         |                  0.99600
GA026                         |                  2.35720
GA027                         |                  2.25760
GA029                         |                  1.49400
GA030                         |                  1.59360
GA031                         |                  0.59760
GA033                         |                  0.66400
GA035                         |                  0.69720
GA036                         |                  0.86320
GA037                         |                  1.39440
GA041                         |                  0.69720
GA045                         |                  1.56040
GA048                         |                  2.65600
GA054                         |                  2.55000
GA081                         |                  1.42760
GA123                         |                  0.84870
GA126                         |                  1.32020
GA127                         |                  1.25460
GA129                         |                  0.83283
GA130                         |                  0.89790
GA131                         |                  0.30176
GA132                         |                  0.26407
GA135                         |                  0.39032
GA145                         |                  0.79187
GA148                         |                  1.12774
GA161                         |                  0.65600
GA162                         |                  0.79335
GA163                         |                  0.87379
GA164                         |                  0.67445
GA165                         |                  0.79335
GA166                         |                  0.86287
GA229                         |                  1.24640
GA421                         |                  0.51455
GA800                         |                  0.81305
GA810                         |                  0.73726
GAG420                        |                  0.89640
GALUARIA                      |                  7.90292
GAMANT050                     |                  1.56040
GAMCENT050                    |                  1.52720
GAMPOST050                    |                  1.49400
GAPP025                       |                  0.76360
GB026                         |                  2.52320
GB027                         |                  2.52320
GB031                         |                  0.53120
GB054                         |                  2.55000
GB126                         |                  1.19720
GB127                         |                  1.19720
GB131                         |                  0.26732
GB135                         |                  0.38048
GC033                         |                  0.92960
GC035                         |                  0.86320
GC036                         |                  1.06240
GC037                         |                  1.32800
GC135                         |                  0.48216
GC421                         |                  0.59860
GCG420                        |                  1.02920
GD322                         |                  0.56440
GFERARIA                      |                  3.50115
GP021                         |                  1.52720
GP024                         |                  1.26160
GP025                         |                  1.02920
GP029                         |                  1.56040
GP030                         |                  1.66000
GP033                         |                  0.66400
GP035                         |                  0.66400
GP036                         |                  1.06240
GP037                         |                  1.29480
GP041                         |                  0.92960
GP045                         |                  2.02520
GP048                         |                  3.71840
GP081                         |                  1.52720
GP129                         |                  0.86833
GP130                         |                  0.93890
GP145                         |                  1.04550
GP147                         |                  1.58260
GP148                         |                  3.16520
GP148B                        |                  3.16520
GP229                         |                  1.29150
